feature,importance
P_DBQ__DBQ229_Regular_milk_use_5_times_per_week_3.0,0.0071083866
P_SMQSHS__SMQ874_Last_7_d_spent_time_in_another_home_2.0,0.007083451
P_KIQ_U__KIQ480_How_many_times_urinate_in_night_3.0,0.006607438
P_CBC__LBDEONO_Eosinophils_number_1000_cells_uL,0.006282781
P_DEMO__RIDEXMON_Six_month_time_period_2.0,0.006119423
P_PAQ__PAQ635_Walk_or_bicycle_2.0,0.0059528793
P_HEPB_S__LBXHBS_Hepatitis_B_Surface_Antibody_2.0,0.0058893827
P_DEMO__RIDRETH3_Race_Hispanic_origin_w_NH_Asian_2.0,0.005849699
P_DEMO__RIDRETH3_Race_Hispanic_origin_w_NH_Asian_7.0,0.0058028037
P_SMQSHS__SMQ856_Last_7_d_worked_at_job_not_at_home_2.0,0.00578858
P_DEMO__DMDEDUC2_Education_level_Adults_20_2.0,0.005096556
P_MCQ__MCQ520_Abdominal_pain_during_past_12_months_2.0,0.0050808773
P_OHQ__OHQ033_Main_reason_for_last_dental_visit_3.0,0.004927294
P_DPQ__DPQ060_Feeling_bad_about_yourself_1.0,0.0038150274
P_CBC__LBDMONO_Monocyte_number_1000_cells_uL,0.0036933955
P_WHQ__WHQ225_Times_lost_10_lbs_or_more_to_lose_weight_5.0,0.0036074242
P_HEPBD__LBXHBC_Hepatitis_B_core_antibody_2.0,0.0035060819
P_FSQ__FSD151_HH_Emergency_food_received_2.0,0.0034205224
P_BIOPRO__LBXSC3SI_Bicarbonate_mmol_L,0.0033199904
P_HUQ__HUQ051_times_receive_healthcare_over_past_year_1.0,0.0033194958
P_SMQSHS__SMQ870_Last_7_d_rode_in_a_car_2.0,0.003291958
P_OHXDEN__OHXRCAR_Root_caries_2.0,0.002768666
P_HUQ__HUQ010_General_health_condition_3.0,0.002763782
P_MCQ__MCQ160E_9.0,0.002623124
P_IHGEM__LBDBGESI_Mercury_ethyl_nmol_L,0.0025787102
P_SLQ__SLD012_Sleep_hours_weekdays_or_workdays_4,0.002552648
P_SLQ__SLQ120_How_often_feel_overly_sleepy_during_day_4.0,0.0022770169
P_FASTQX__PHQ020_Coffee_or_tea_with_cream_or_sugar_2.0,0.0022197203
P_DPQ__DPQ070_Trouble_concentrating_on_things_1.0,0.001713942
P_MCQ__MCQ160C_2.0,0.0016820492
P_MCQ__MCQ160F_2.0,0.0012150056
P_DBQ__DBQ700_How_healthy_is_the_diet_3.0,0.0007075213
P_MCQ__MCQ371A_9.0,0.0
P_MCQ__MCQ371B_2.0,0.0
P_MCQ__MCQ371B_9.0,0.0
P_BMX__BMDSTATS_Body_Measures_Component_Status_Code_4.0,0.0
P_MCQ__MCQ371C_9.0,0.0
P_BMX__BMDSTATS_Body_Measures_Component_Status_Code_3.0,0.0
P_MCQ__MCQ371D_7.0,0.0
P_OHQ__OHQ030_When_did_you_last_visit_a_dentist_2.0,0.0
P_MCQ__MCQ371D_9.0,0.0
P_OCQ__OCD150_Type_of_work_done_last_week_2.0,0.0
P_OCQ__OCD150_Type_of_work_done_last_week_3.0,0.0
P_OCQ__OCD150_Type_of_work_done_last_week_4.0,0.0
P_MCQ__MCQ366D_9.0,0.0
P_OHQ__OHQ030_When_did_you_last_visit_a_dentist_3.0,0.0
P_OHQ__OHQ030_When_did_you_last_visit_a_dentist_4.0,0.0
P_OHQ__OHQ030_When_did_you_last_visit_a_dentist_5.0,0.0
P_OHQ__OHQ030_When_did_you_last_visit_a_dentist_6.0,0.0
P_OHQ__OHQ030_When_did_you_last_visit_a_dentist_7.0,0.0
P_OHQ__OHQ033_Main_reason_for_last_dental_visit_2.0,0.0
P_BMX__BMDSTATS_Body_Measures_Component_Status_Code_2.0,0.0
P_MCQ__MCQ371A_2.0,0.0
P_BPXO__BPAOCSZ_Coded_cuff_size_oscillometric_3.0,0.0
P_BPXO__BPAOARM_Arm_selected_oscillometric_R,0.0
P_MCQ__MCQ366C_9.0,0.0
P_MCQ__MCQ160F_9.0,0.0
P_MCQ__MCQ160M_2.0,0.0
P_MCQ__MCQ160M_7.0,0.0
P_MCQ__MCQ160M_9.0,0.0
P_MCQ__MCQ160P_2.0,0.0
P_MCQ__MCQ160P_9.0,0.0
P_MCQ__MCQ160L_2.0,0.0
P_MCQ__MCQ160L_9.0,0.0
P_OHXDEN__OHDDESTS_Dentition_Status_Code_3.0,0.0
P_OHXDEN__OHDDESTS_Dentition_Status_Code_2.0,0.0
P_MCQ__MCQ560_Ever_had_gallbladder_surgery_2.0,0.0
P_MCQ__MCQ220_Ever_told_you_had_cancer_or_malignancy_2.0,0.0
P_MCQ__MCQ300B_2.0,0.0
P_MCQ__MCQ300B_9.0,0.0
P_OHXDEN__OHDEXSTS_Overall_Oral_Health_Exam_Status_3.0,0.0
P_MCQ__MCQ300C_7.0,0.0
P_MCQ__MCQ300C_9.0,0.0
P_OHXDEN__OHDEXSTS_Overall_Oral_Health_Exam_Status_2.0,0.0
P_MCQ__MCQ300A_7.0,0.0
P_MCQ__MCQ300A_9.0,0.0
P_BPXO__BPAOCSZ_Coded_cuff_size_oscillometric_5.0,0.0
P_MCQ__MCQ366A_9.0,0.0
P_BPXO__BPAOCSZ_Coded_cuff_size_oscillometric_4.0,0.0
P_MCQ__MCQ366B_9.0,0.0
P_OHQ__OHQ033_Main_reason_for_last_dental_visit_5.0,0.0
P_OHQ__OHQ033_Main_reason_for_last_dental_visit_4.0,0.0
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_2.0,0.0
P_OHQ__OHQ770_Past_yr_need_dental_but_couldn_t_get_it_2.0,0.0
P_DBQ__DBD895_of_meals_not_home_prepared,0.0
P_SLQ__SLQ050_Ever_told_doctor_had_trouble_sleeping_2.0,0.0
P_SLQ__SLQ120_How_often_feel_overly_sleepy_during_day_1.0,0.0
P_SLQ__SLQ120_How_often_feel_overly_sleepy_during_day_2.0,0.0
P_DEMO__DMDBORN4_Country_of_birth_2.0,0.0
P_DEMO__RIDRETH3_Race_Hispanic_origin_w_NH_Asian_6.0,0.0
P_SMQFAM__SMD460_of_people_who_live_here_smoke_tobacco_1.0,0.0
P_DEMO__RIAGENDR_Gender_2.0,0.0
P_SMQRTU__SMQ681_Smoked_tobacco_last_5_days_2.0,0.0
P_SMQRTU__SMQ851_Used_smokeless_tobacco_last_5_days_2.0,0.0
P_SMQRTU__SMQ863_Used_nicotine_replacement_last_5_days_2.0,0.0
P_SMQRTU__SMDANY_Used_any_tobacco_product_last_5_days_2.0,0.0
P_SMQSHS__SMQ860_Last_7_d_spent_time_in_a_restaurant_2.0,0.0
P_SLQ__SLQ040_How_often_do_you_snort_or_stop_breathing_2.0,0.0
P_SMQSHS__SMQ866_Last_7_d_spent_time_in_a_bar_2.0,0.0
P_SMQSHS__SMQ872_Last_7_d_someone_smoked_in_car_2.0,0.0
P_CBC__LBXNRBC_Nucleated_red_blood_cells_100_WBC,0.0
P_SMQSHS__SMQ940_Last_7_d_someone_used_e_cigs_indoors_2.0,0.0
P_WHQ__WHQ030_How_do_you_consider_your_weight_2.0,0.0
P_WHQ__WHQ030_How_do_you_consider_your_weight_3.0,0.0
P_WHQ__WHQ040_Like_to_weigh_more_less_or_same_2.0,0.0
P_WHQ__WHQ040_Like_to_weigh_more_less_or_same_3.0,0.0
P_WHQ__WHQ070_Tried_to_lose_weight_in_past_year_2.0,0.0
P_WHQ__WHQ225_Times_lost_10_lbs_or_more_to_lose_weight_2.0,0.0
P_WHQ__WHQ225_Times_lost_10_lbs_or_more_to_lose_weight_4.0,0.0
P_SLQ__SLQ040_How_often_do_you_snort_or_stop_breathing_3.0,0.0
P_SLQ__SLQ040_How_often_do_you_snort_or_stop_breathing_1.0,0.0
P_OHQ__OHQ845_Rate_the_health_of_your_teeth_and_gums_2.0,0.0
P_DEMO__DMDEDUC2_Education_level_Adults_20_3.0,0.0
P_DEMO__DMDMARTZ_Marital_status_99.0,0.0
P_OHQ__OHQ845_Rate_the_health_of_your_teeth_and_gums_5.0,0.0
P_DEMO__DMDMARTZ_Marital_status_3.0,0.0
P_DEMO__DMDEDUC2_Education_level_Adults_20_9.0,0.0
P_DEMO__DMDEDUC2_Education_level_Adults_20_7.0,0.0
P_PAQ__PAQ650_Vigorous_recreational_activities_2.0,0.0
P_PAQ__PAQ665_Moderate_recreational_activities_2.0,0.0
P_PUQMEC__PUQ100_Products_used_in_home_to_control_insects_2.0,0.0
P_PUQMEC__PUQ110_Products_used_to_kill_weeds_2.0,0.0
P_DEMO__DMDEDUC2_Education_level_Adults_20_5.0,0.0
P_SLQ__SLQ300_Usual_sleep_time_on_weekdays_or_workdays_3,0.0
P_SLQ__SLQ300_Usual_sleep_time_on_weekdays_or_workdays_5,0.0
P_SLQ__SLQ030_How_often_do_you_snore_3.0,0.0
P_DEMO__DMDBORN4_Country_of_birth_99.0,0.0
P_SLQ__SLD012_Sleep_hours_weekdays_or_workdays_3,0.0
P_SLQ__SLQ320_Usual_sleep_time_on_weekends_2,0.0
P_SLQ__SLQ320_Usual_sleep_time_on_weekends_3,0.0
P_SLQ__SLQ320_Usual_sleep_time_on_weekends_4,0.0
P_SLQ__SLQ320_Usual_sleep_time_on_weekends_5,0.0
P_SLQ__SLD013_Sleep_hours_weekends_2,0.0
P_DEMO__DMDBORN4_Country_of_birth_77.0,0.0
P_SLQ__SLD013_Sleep_hours_weekends_4,0.0
P_SLQ__SLQ030_How_often_do_you_snore_1.0,0.0
P_SLQ__SLQ030_How_often_do_you_snore_2.0,0.0
P_DEMO__DMDMARTZ_Marital_status_77.0,0.0
P_MCQ__MCQ160C_9.0,0.0
P_OHXDEN__OHXIMP_Dental_Implant_yes_no_2.0,0.0
P_DPQ__DPQ050_Poor_appetite_or_overeating_2.0,0.0
P_DPQ__DPQ010_Have_little_interest_in_doing_things_2.0,0.0
