feature,importance
P_SMQSHS__SMQ856_Last_7_d_worked_at_job_not_at_home_2.0,0.0
P_SMQRTU__SMDANY_Used_any_tobacco_product_last_5_days_2.0,0.0
P_SMQRTU__SMQ851_Used_smokeless_tobacco_last_5_days_2.0,0.0
P_SMQRTU__SMQ863_Used_nicotine_replacement_last_5_days_2.0,0.0
P_MCQ__MCQ160L_2.0,0.0
P_MCQ__MCQ160L_9.0,0.0
P_SMQRTU__SMQ681_Smoked_tobacco_last_5_days_2.0,0.0
P_MCQ__MCQ092_Ever_receive_blood_transfusion_2.0,0.0
P_MCQ__MCQ560_Ever_had_gallbladder_surgery_2.0,0.0
P_SMQFAM__SMD460_of_people_who_live_here_smoke_tobacco_2.0,0.0
P_SMQSHS__SMQ870_Last_7_d_rode_in_a_car_2.0,0.0
P_WHQ__WHQ225_Times_lost_10_lbs_or_more_to_lose_weight_2.0,0.0
P_SMQSHS__SMQ872_Last_7_d_someone_smoked_in_car_2.0,0.0
P_MCQ__MCQ160F_9.0,0.0
P_MCQ__MCQ160B_9.0,0.0
P_MCQ__MCQ160C_2.0,0.0
P_MCQ__MCQ160C_9.0,0.0
P_MCQ__MCQ160D_2.0,0.0
P_MCQ__MCQ160D_9.0,0.0
P_MCQ__MCQ160E_2.0,0.0
P_MCQ__MCQ160E_9.0,0.0
P_MCQ__MCQ160F_2.0,0.0
P_MCQ__MCQ160A_9.0,0.0
P_SMQSHS__SMQ874_Last_7_d_spent_time_in_another_home_2.0,0.0
P_MCQ__MCQ160M_2.0,0.0
P_MCQ__MCQ160M_7.0,0.0
P_MCQ__MCQ160M_9.0,0.0
P_MCQ__MCQ160P_2.0,0.0
P_WHQ__WHQ225_Times_lost_10_lbs_or_more_to_lose_weight_3.0,0.0
P_WHQ__WHQ225_Times_lost_10_lbs_or_more_to_lose_weight_4.0,0.0
P_MCQ__MCQ160P_9.0,0.0
P_SMQSHS__SMQ878_Last_7_d_in_other_indoor_area_2.0,0.0
P_WHQ__WHQ030_How_do_you_consider_your_weight_2.0,0.0
P_MCQ__MCQ300A_9.0,0.0
P_SMQFAM__SMD460_of_people_who_live_here_smoke_tobacco_1.0,0.0
P_OHQ__OHQ030_When_did_you_last_visit_a_dentist_7.0,0.0
P_SLQ__SLQ320_Usual_sleep_time_on_weekends_3,0.0
P_SLQ__SLD012_Sleep_hours_weekdays_or_workdays_3,0.0
P_OHQ__OHQ030_When_did_you_last_visit_a_dentist_3.0,0.0
P_SLQ__SLD012_Sleep_hours_weekdays_or_workdays_2,0.0
P_OHQ__OHQ030_When_did_you_last_visit_a_dentist_5.0,0.0
P_SLQ__SLQ300_Usual_sleep_time_on_weekdays_or_workdays_5,0.0
P_SLQ__SLQ300_Usual_sleep_time_on_weekdays_or_workdays_4,0.0
P_SLQ__SLQ300_Usual_sleep_time_on_weekdays_or_workdays_3,0.0
P_SLQ__SLQ300_Usual_sleep_time_on_weekdays_or_workdays_2,0.0
P_OHQ__OHQ033_Main_reason_for_last_dental_visit_2.0,0.0
P_OCQ__OCD150_Type_of_work_done_last_week_2.0,0.0
P_PUQMEC__PUQ110_Products_used_to_kill_weeds_2.0,0.0
P_OHQ__OHQ033_Main_reason_for_last_dental_visit_4.0,0.0
P_PUQMEC__PUQ100_Products_used_in_home_to_control_insects_2.0,0.0
P_OHQ__OHQ033_Main_reason_for_last_dental_visit_5.0,0.0
P_OHQ__OHQ770_Past_yr_need_dental_but_couldn_t_get_it_2.0,0.0
P_PAQ__PAQ665_Moderate_recreational_activities_2.0,0.0
P_OHQ__OHQ845_Rate_the_health_of_your_teeth_and_gums_2.0,0.0
P_OHQ__OHQ845_Rate_the_health_of_your_teeth_and_gums_5.0,0.0
P_PAQ__PAQ605_Vigorous_work_activity_2.0,0.0
P_OCQ__OCD150_Type_of_work_done_last_week_3.0,0.0
P_MCQ__MCQ371D_9.0,0.0
P_MCQ__MCQ300B_2.0,0.0
P_SLQ__SLQ040_How_often_do_you_snort_or_stop_breathing_3.0,0.0
P_MCQ__MCQ300B_9.0,0.0
P_SLQ__SLQ120_How_often_feel_overly_sleepy_during_day_4.0,0.0
P_MCQ__MCQ300C_7.0,0.0
P_MCQ__MCQ300C_9.0,0.0
P_MCQ__MCQ300A_7.0,0.0
P_MCQ__MCQ366A_9.0,0.0
P_SLQ__SLQ120_How_often_feel_overly_sleepy_during_day_1.0,0.0
P_MCQ__MCQ366B_9.0,0.0
P_MCQ__MCQ366C_9.0,0.0
P_SLQ__SLQ040_How_often_do_you_snort_or_stop_breathing_2.0,0.0
P_MCQ__MCQ371D_7.0,0.0
P_SLQ__SLQ040_How_often_do_you_snort_or_stop_breathing_1.0,0.0
P_MCQ__MCQ366D_9.0,0.0
P_MCQ__MCQ371A_2.0,0.0
P_MCQ__MCQ371A_9.0,0.0
P_MCQ__MCQ371B_2.0,0.0
P_MCQ__MCQ371B_9.0,0.0
P_SLQ__SLQ030_How_often_do_you_snore_3.0,0.0
P_MCQ__MCQ371C_2.0,0.0
P_MCQ__MCQ371C_9.0,0.0
P_SLQ__SLD013_Sleep_hours_weekends_2,0.0
P_DPQ__DPQ020_Feeling_down_depressed_or_hopeless_3.0,0.0
P_MCQ__MCQ010_Ever_been_told_you_have_asthma_2.0,0.0
P_OHXDEN__OHXIMP_Dental_Implant_yes_no_2.0,0.0
P_OHXDEN__OHXRCAR_Root_caries_9.0,0.0
P_OHXDEN__OHXRCARO_Other_non_carious_root_lesion_2.0,0.0
P_OHXDEN__OHXRCARO_Other_non_carious_root_lesion_9.0,0.0
P_OHXDEN__OHXRRES_Root_caries_restoration_2.0,0.0
P_OHXDEN__OHXRRES_Root_caries_restoration_9.0,0.0
P_OHXDEN__OHXRRESO_Other_non_carious_root_restoration_2.0,0.0
P_OHXDEN__OHXRRESO_Other_non_carious_root_restoration_9.0,0.0
P_OHXREF__OHDEXSTS_Overall_Oral_Health_Exam_Status_2.0,0.0
P_OHXREF__OHDEXSTS_Overall_Oral_Health_Exam_Status_3.0,0.0
P_FASTQX__PHQ020_Coffee_or_tea_with_cream_or_sugar_2.0,0.0
P_FASTQX__PHQ030_Alcohol_such_as_beer_wine_or_liquor_2.0,0.0
P_FASTQX__PHQ050_Antacids_laxatives_or_anti_diarrheals_2.0,0.0
P_FASTQX__PHQ060_Dietary_supplements_2.0,0.0
P_HEPA__LBXHA_Hepatitis_A_antibody_3.0,0.0
P_HEPBD__LBXHBC_Hepatitis_B_core_antibody_2.0,0.0
P_HEPBD__LBXHBC_Hepatitis_B_core_antibody_3.0,0.0
P_HEPB_S__LBXHBS_Hepatitis_B_Surface_Antibody_2.0,0.0
P_HEPC__LBXHCR_Hepatitis_C_RNA_2.0,0.0
P_HEPC__LBDHCI_Hepatitis_C_Antibody_confirmed_2.0,0.0
P_HEPC__LBDHCI_Hepatitis_C_Antibody_confirmed_3.0,0.0
P_HEPE__LBDHEG_Hepatitis_E_IgG_anti_HEV_2.0,0.0
P_HEPE__LBDHEM_Hepatitis_E_IgM_anti_HEV_2.0,0.0
P_ALQ__ALQ111_Ever_had_a_drink_of_any_kind_of_alcohol_2.0,0.0
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_1.0,0.0
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_2.0,0.0
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_3.0,0.0
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_4.0,0.0
P_OHXDEN__OHXRCAR_Root_caries_2.0,0.0
P_OHXDEN__OHDDESTS_Dentition_Status_Code_3.0,0.0
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_7.0,0.0
P_OHXDEN__OHDDESTS_Dentition_Status_Code_2.0,0.0
P_BMX__BMXWT_Weight_kg,0.0
P_CBC__LBXHCT_Hematocrit,0.0
P_CBC__LBXNRBC_Nucleated_red_blood_cells_100_WBC,0.0
P_IHGEM__LBDBGESI_Mercury_ethyl_nmol_L,0.0
P_WHQ__WHD010_Current_self_reported_height_inches,0.0
P_DEMO__RIAGENDR_Gender_2.0,0.0
P_DEMO__RIDRETH3_Race_Hispanic_origin_w_NH_Asian_7.0,0.0
P_DEMO__DMDBORN4_Country_of_birth_77.0,0.0
P_DEMO__DMDBORN4_Country_of_birth_99.0,0.0
P_DEMO__DMDEDUC2_Education_level_Adults_20_2.0,0.0
P_DEMO__DMDEDUC2_Education_level_Adults_20_3.0,0.0
P_DEMO__DMDEDUC2_Education_level_Adults_20_4.0,0.0
P_DEMO__DMDEDUC2_Education_level_Adults_20_5.0,0.0
P_DEMO__DMDEDUC2_Education_level_Adults_20_7.0,0.0
P_DEMO__DMDEDUC2_Education_level_Adults_20_9.0,0.0
P_DEMO__DMDMARTZ_Marital_status_2.0,0.0
P_DEMO__DMDMARTZ_Marital_status_3.0,0.0
