,mean_abs_shap
P_DEMO__DMDMARTZ_Marital_status_77.0,1.6088983344278044e-06
P_DEMO__DMDMARTZ_Marital_status_99.0,1.2389786995103405e-05
P_BMX__BMDSTATS_Body_Measures_Component_Status_Code_2.0,7.676277882688507e-05
P_BMX__BMDSTATS_Body_Measures_Component_Status_Code_3.0,2.7198783847217087e-05
P_BMX__BMDSTATS_Body_Measures_Component_Status_Code_4.0,4.4370197144334275e-05
P_BPXO__BPAOARM_Arm_selected_oscillometric_R,1.4182266424793723e-05
P_BPXO__BPAOCSZ_Coded_cuff_size_oscillometric_3.0,0.0005681810033731201
P_BPXO__BPAOCSZ_Coded_cuff_size_oscillometric_4.0,0.00037090709213442354
P_BPXO__BPAOCSZ_Coded_cuff_size_oscillometric_5.0,7.799379700292454e-05
P_OHXDEN__OHDEXSTS_Overall_Oral_Health_Exam_Status_2.0,2.474589313982887e-06
P_OHXDEN__OHDEXSTS_Overall_Oral_Health_Exam_Status_3.0,8.965488657566781e-05
P_OHXDEN__OHDDESTS_Dentition_Status_Code_2.0,1.7022591195564412e-06
P_OHXDEN__OHDDESTS_Dentition_Status_Code_3.0,0.00011058440899738674
P_OHXDEN__OHXIMP_Dental_Implant_yes_no_2.0,6.893932022186042e-05
P_OHXDEN__OHXRCAR_Root_caries_2.0,0.0001817932846786662
P_OHXDEN__OHXRCAR_Root_caries_9.0,0.0
P_OHXDEN__OHXRCARO_Other_non_carious_root_lesion_2.0,0.0002497491256777866
P_OHXDEN__OHXRCARO_Other_non_carious_root_lesion_9.0,3.239846676787659e-06
P_OHXDEN__OHXRRES_Root_caries_restoration_2.0,0.00018047041085963317
P_OHXDEN__OHXRRES_Root_caries_restoration_9.0,0.0
P_OHXDEN__OHXRRESO_Other_non_carious_root_restoration_2.0,5.5408828661718185e-05
P_OHXDEN__OHXRRESO_Other_non_carious_root_restoration_9.0,0.0
P_OHXREF__OHDEXSTS_Overall_Oral_Health_Exam_Status_2.0,2.72024189524525e-06
P_OHXREF__OHDEXSTS_Overall_Oral_Health_Exam_Status_3.0,0.0001025779059821578
P_FASTQX__PHQ020_Coffee_or_tea_with_cream_or_sugar_2.0,2.4354454299777177e-05
P_FASTQX__PHQ030_Alcohol_such_as_beer_wine_or_liquor_2.0,1.646812760363431e-05
P_FASTQX__PHQ040_Gum_mints_lozenges_or_cough_drops_2.0,2.2895608651167322e-05
P_FASTQX__PHQ050_Antacids_laxatives_or_anti_diarrheals_2.0,3.3090386489761354e-05
P_FASTQX__PHQ060_Dietary_supplements_2.0,7.252508941914062e-05
P_FASTQX__PHDSESN_Session_in_which_SP_was_examined_1.0,0.00013948380095990816
P_FASTQX__PHDSESN_Session_in_which_SP_was_examined_2.0,0.00017539320066779294
P_HEPA__LBXHA_Hepatitis_A_antibody_2.0,0.000489816223733774
P_HEPA__LBXHA_Hepatitis_A_antibody_3.0,0.0
P_HEPBD__LBXHBC_Hepatitis_B_core_antibody_2.0,0.0001667784780919134
P_HEPBD__LBXHBC_Hepatitis_B_core_antibody_3.0,0.0
P_HEPB_S__LBXHBS_Hepatitis_B_Surface_Antibody_2.0,0.00018288162423470735
P_HEPC__LBXHCR_Hepatitis_C_RNA_2.0,2.4516637934139352e-05
P_HEPC__LBXHCR_Hepatitis_C_RNA_3.0,3.147166015269817e-05
P_HEPC__LBDHCI_Hepatitis_C_Antibody_confirmed_2.0,2.3516334524297645e-06
P_HEPC__LBDHCI_Hepatitis_C_Antibody_confirmed_3.0,1.279828638497302e-05
P_HEPC__LBDHCI_Hepatitis_C_Antibody_confirmed_4.0,2.7191168064065798e-06
P_HEPE__LBDHEG_Hepatitis_E_IgG_anti_HEV_2.0,0.00016102578391859
P_HEPE__LBDHEM_Hepatitis_E_IgM_anti_HEV_2.0,5.339865702871024e-05
