,mean_abs_shap
P_FASTQX__PHQ030_Alcohol_such_as_beer_wine_or_liquor_2.0,0.0
P_FASTQX__PHQ040_Gum_mints_lozenges_or_cough_drops_2.0,0.022362753875958253
P_FASTQX__PHQ050_Antacids_laxatives_or_anti_diarrheals_2.0,0.0
P_FASTQX__PHQ060_Dietary_supplements_2.0,0.0
P_FASTQX__PHDSESN_Session_in_which_SP_was_examined_1.0,0.08959432151372786
P_FASTQX__PHDSESN_Session_in_which_SP_was_examined_2.0,0.07319967967864767
P_HEPA__LBXHA_Hepatitis_A_antibody_2.0,0.0077487115761058645
P_HEPA__LBXHA_Hepatitis_A_antibody_3.0,0.0
P_HEPBD__LBXHBC_Hepatitis_B_core_antibody_2.0,0.0
P_HEPBD__LBXHBC_Hepatitis_B_core_antibody_3.0,0.0
P_HEPB_S__LBXHBS_Hepatitis_B_Surface_Antibody_2.0,0.0
P_HEPC__LBXHCR_Hepatitis_C_RNA_2.0,0.0
P_HEPC__LBXHCR_Hepatitis_C_RNA_3.0,0.0
P_HEPC__LBDHCI_Hepatitis_C_Antibody_confirmed_2.0,0.0
P_HEPC__LBDHCI_Hepatitis_C_Antibody_confirmed_3.0,0.0
P_HEPC__LBDHCI_Hepatitis_C_Antibody_confirmed_4.0,0.00989784958929235
P_HEPE__LBDHEG_Hepatitis_E_IgG_anti_HEV_2.0,0.0002980673639589645
P_HEPE__LBDHEM_Hepatitis_E_IgM_anti_HEV_2.0,0.0
P_ALQ__ALQ111_Ever_had_a_drink_of_any_kind_of_alcohol_2.0,0.0013825492329728806
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_1.0,0.0
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_2.0,0.0
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_3.0,0.0
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_4.0,0.0
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_5.0,0.011991508128875833
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_6.0,0.0009855407582148134
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_7.0,0.0
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_8.0,0.0
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_9.0,0.014443045178258864
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_10.0,0.0019132802088065327
P_ALQ__ALQ151_Ever_have_4_5_or_more_drinks_every_day_2.0,0.010994819231518913
P_AUQ__AUQ054_General_condition_of_hearing_2.0,0.010214049908615271
P_AUQ__AUQ054_General_condition_of_hearing_3.0,0.0004750476366896542
P_AUQ__AUQ054_General_condition_of_hearing_4.0,0.0
P_AUQ__AUQ054_General_condition_of_hearing_5.0,0.0011452930789619482
P_AUQ__AUQ054_General_condition_of_hearing_6.0,0.0
P_BPQ__BPQ020_Ever_told_you_had_high_blood_pressure_2.0,0.09752730237039796
P_BPQ__BPQ080_Doctor_told_you_high_cholesterol_level_2.0,0.07266829800850516
P_DBQ__DBQ700_How_healthy_is_the_diet_2.0,0.0024087498566226855
P_DBQ__DBQ700_How_healthy_is_the_diet_3.0,0.004942758239640094
P_DBQ__DBQ700_How_healthy_is_the_diet_4.0,0.003548718501020189
P_DBQ__DBQ700_How_healthy_is_the_diet_5.0,0.0030849788134959862
P_DBQ__DBQ197_Past_30_day_milk_product_consumption_1.0,0.010017734412287621
P_DBQ__DBQ197_Past_30_day_milk_product_consumption_2.0,0.0009913579123227436
P_DBQ__DBQ197_Past_30_day_milk_product_consumption_3.0,0.004479350472699703
