,mean_abs_shap
P_DBQ__DBD900_of_meals_from_fast_food_or_pizza_place,0.0028460543
P_DBQ__DBD905_of_ready_to_eat_foods_in_past_30_days,0.0075511415
P_DBQ__DBD910_of_frozen_meals_pizza_in_past_30_days,0.0008544049
P_INQ__INDFMMPI_Family_monthly_poverty_level_index,0.016011868
P_PAQ__PAD680_Minutes_sedentary_activity,0.02943302
P_WHQ__WHD010_Current_self_reported_height_inches,0.00057028787
P_WHQ__WHD020_Current_self_reported_weight_pounds,0.004355714
P_WHQ__WHD050_Self_reported_weight_1_yr_ago_pounds,0.0055713323
P_WHQ__WHD120_Self_reported_weight_age_25_pounds,0.059444863
P_WHQ__WHD140_Self_reported_greatest_weight_pounds,0.06266327
P_WHQ__WHQ150_Age_when_heaviest_weight,0.101668596
BP_sys_median,0.038937338
BP_dia_median,0.07467559
Pulse_median,0.16695362
P_DEMO__RIAGENDR_Gender_2.0,0.0
P_DEMO__RIDRETH3_Race_Hispanic_origin_w_NH_Asian_2.0,0.0
P_DEMO__RIDRETH3_Race_Hispanic_origin_w_NH_Asian_3.0,0.13019702
P_DEMO__RIDRETH3_Race_Hispanic_origin_w_NH_Asian_4.0,0.056386594
P_DEMO__RIDRETH3_Race_Hispanic_origin_w_NH_Asian_6.0,0.03525946
P_DEMO__RIDRETH3_Race_Hispanic_origin_w_NH_Asian_7.0,0.0
P_DEMO__RIDEXMON_Six_month_time_period_2.0,0.046970304
P_DEMO__DMDBORN4_Country_of_birth_2.0,0.03356653
P_DEMO__DMDBORN4_Country_of_birth_77.0,0.0
P_DEMO__DMDBORN4_Country_of_birth_99.0,0.0
P_DEMO__DMDEDUC2_Education_level_Adults_20_2.0,0.0
P_DEMO__DMDEDUC2_Education_level_Adults_20_3.0,0.0
P_DEMO__DMDEDUC2_Education_level_Adults_20_4.0,0.0
P_DEMO__DMDEDUC2_Education_level_Adults_20_5.0,0.0
P_DEMO__DMDEDUC2_Education_level_Adults_20_7.0,0.0
P_DEMO__DMDEDUC2_Education_level_Adults_20_9.0,0.0
P_DEMO__DMDMARTZ_Marital_status_2.0,0.0
P_DEMO__DMDMARTZ_Marital_status_3.0,0.0
P_DEMO__DMDMARTZ_Marital_status_77.0,0.0
P_DEMO__DMDMARTZ_Marital_status_99.0,0.0
P_BMX__BMDSTATS_Body_Measures_Component_Status_Code_2.0,0.0
P_BMX__BMDSTATS_Body_Measures_Component_Status_Code_3.0,0.0
P_BMX__BMDSTATS_Body_Measures_Component_Status_Code_4.0,0.0
P_BPXO__BPAOARM_Arm_selected_oscillometric_R,0.0
P_BPXO__BPAOCSZ_Coded_cuff_size_oscillometric_3.0,0.0
P_BPXO__BPAOCSZ_Coded_cuff_size_oscillometric_4.0,0.0
P_BPXO__BPAOCSZ_Coded_cuff_size_oscillometric_5.0,0.0
P_OHXDEN__OHDEXSTS_Overall_Oral_Health_Exam_Status_2.0,0.0
P_OHXDEN__OHDEXSTS_Overall_Oral_Health_Exam_Status_3.0,0.0018328037
P_OHXDEN__OHDDESTS_Dentition_Status_Code_2.0,0.0
P_OHXDEN__OHDDESTS_Dentition_Status_Code_3.0,0.0
P_OHXDEN__OHXIMP_Dental_Implant_yes_no_2.0,0.0
P_OHXDEN__OHXRCAR_Root_caries_2.0,0.0
P_OHXDEN__OHXRCAR_Root_caries_9.0,0.0
P_OHXDEN__OHXRCARO_Other_non_carious_root_lesion_2.0,0.0007657875
P_OHXDEN__OHXRCARO_Other_non_carious_root_lesion_9.0,0.0
P_OHXDEN__OHXRRES_Root_caries_restoration_2.0,0.0
P_OHXDEN__OHXRRES_Root_caries_restoration_9.0,0.0
P_OHXDEN__OHXRRESO_Other_non_carious_root_restoration_2.0,0.0
P_OHXDEN__OHXRRESO_Other_non_carious_root_restoration_9.0,0.0
P_OHXREF__OHDEXSTS_Overall_Oral_Health_Exam_Status_2.0,0.0
P_OHXREF__OHDEXSTS_Overall_Oral_Health_Exam_Status_3.0,0.0
P_FASTQX__PHQ020_Coffee_or_tea_with_cream_or_sugar_2.0,0.0
P_FASTQX__PHQ030_Alcohol_such_as_beer_wine_or_liquor_2.0,0.0
P_FASTQX__PHQ040_Gum_mints_lozenges_or_cough_drops_2.0,0.01764833
P_FASTQX__PHQ050_Antacids_laxatives_or_anti_diarrheals_2.0,0.0
P_FASTQX__PHQ060_Dietary_supplements_2.0,0.0
P_FASTQX__PHDSESN_Session_in_which_SP_was_examined_1.0,0.11555136
P_FASTQX__PHDSESN_Session_in_which_SP_was_examined_2.0,0.081024855
P_HEPA__LBXHA_Hepatitis_A_antibody_2.0,0.0
P_HEPA__LBXHA_Hepatitis_A_antibody_3.0,0.0
